1,北海道,札幌,060-8588,札幌市中央区北三条西6丁目,011(231)4111
2,青森県,青森,030-8570,青森市長島1-1-1,017(722)1111
3,岩手県,盛岡,020-8570,盛岡市内丸10-1,019(651)3111
4,宮城県,仙台,980-8570,仙台市青葉区本町3-8-1,022(211)2111
5,秋田県,秋田,010-8570,秋田市山王4-1-1,018(860)1111
6,山形県,山形,990-8570,山形市松波2-8-1,023(630)2211
7,福島県,福島,960-8670,福島市杉妻町2-16,024(521)1111
8,茨城県,水戸,310-8555,水戸市笠原町978-6,029(301)1111
9,栃木県,宇都宮,320-8501,宇都宮市塙田1-1-20,028(623)2323
10,群馬県,前橋,371-8570,前橋市大手町1-1-1,027(223)1111
11,埼玉県,埼玉,330-9301,さいたま市浦和区高砂3-15-1,048(824)2111
12,千葉県,千葉,260-8667,千葉市中央区市場町1-1,043(223)2110
13,東京都,東京,163-8001,新宿区西新宿2-8-1,03(5321)1111
14,神奈川県,横浜,231-8588,横浜市中区日本大通1,045(210)1111
15,新潟県,新潟,950-8570,新潟市中央区新光町4-1,025(285)5511
16,富山県,富山,930-8501,富山市新総曲輪1-7,076(431)4111
17,石川県,金沢,920-8580,金沢市鞍月1-1,076(225)1111
18,福井県,福井,910-8580,福井市大手3-17-1,0776(21)1111
19,山梨県,甲府,400-8501,甲府市丸の内1-6-1,055(237)1111
20,長野県,長野,380-8570,長野市大字南長野字幅下692-2,026(232)0111
21,岐阜県,岐阜,500-8570,岐阜市藪田南2-1-1,058(272)1111
22,静岡県,静岡,420-8601,静岡市葵区追手町9-6,054(221)2455
23,愛知県,名古屋,460-8501,名古屋市中区三の丸3-1-2,052(961)2111
24,三重県,津,514-8570,津市広明町13番地,059(224)3070
25,滋賀県,大津,520-8577,大津市京町4-1-1,077(528)3993
26,京都府,京都,602-8570,京都市上京区下立売通新町西入藪ノ内町,075(451)8111
27,大阪府,大阪,540-8570,大阪市中央区大手前2丁目,06(6941)0351
28,兵庫県,神戸,650-8567,神戸市中央区下山手通5-10-1,078(341)7711
29,奈良県,奈良,630-8501,奈良市登大路町30番地,0742(22)1101
30,和歌山県,和歌山,640-8585,和歌山市小松原通1-1,073(432)4111
31,鳥取県,鳥取,680-8570,鳥取市東町1-220,0857(26)7111
32,島根県,松江,690-8501,松江市殿町1番地,0852(22)5111
33,岡山県,岡山,700-8570,岡山市北区内山下2-4-6,086(224)2111
34,広島県,広島,730-8511,広島市中区基町10-52,082(228)2111
35,山口県,山口,753-8501,山口市滝町1-1,083(922)3111
36,徳島県,徳島,770-8570,徳島市万代町1-1,088(621)2500
37,香川県,高松,760-8570,高松市番町4-1-10,087(831)1111
38,愛媛県,松山,790-8570,松山市一番町4-4-2,089(941)2111
39,高知県,高知,780-8570,高知市丸の内1-2-20,088(823)1111
40,福岡県,福岡,812-8577,福岡市博多区東公園7-7,092(651)1111
41,佐賀県,佐賀,840-8570,佐賀市城内1-1-59,0952(24)2111
42,長崎県,長崎,850-8570,長崎市尾上町3-1,095(824)1111
43,熊本県,熊本,862-8570,熊本市中央区水前寺6-18-1,096(383)1111
44,大分県,大分,870-8501,大分市大手町3-1-1,097(536)1111
45,宮崎県,宮崎,880-8501,宮崎市橘通東2-10-1,0985(26)7111
46,鹿児島県,鹿児島,890-8577,鹿児島市鴨池新町10-1,099(286)2111
47,沖縄県,那覇,900-8570,那覇市泉崎1-2-2,098(866)2333
